item,verdict,source,preferred,axis,stratum
AB001,A,human,llm,temporal_precision,severe
AB002,B,human,llm,source_quality,severe
AB003,B,human,llm,governing_body_engagement,severe
AB004,A,human,llm,temporal_precision,severe
AB005,A,human,human,outcome_concentration,severe
AB006,B,human,llm,manipulation_susceptibility,severe
AB007,B,human,llm,headline_rules_alignment,severe
AB008,B,human,human,manipulation_susceptibility,severe
AB009,B,human,llm,source_quality,severe
AB010,A,human,llm,manipulation_susceptibility,severe
AB011,B,human,llm,governing_body_engagement,three_one_apart
AB012,B,human,llm,source_specification,severe
AB013,A,human,human,governing_body_engagement,severe
AB014,B,human,llm,outcome_concentration,severe
AB015,A,human,llm,outcome_concentration,three_one_apart
AB016,A,human,llm,outcome_concentration,three_one_apart
AB017,B,human,human,predicate_ambiguity,severe
AB018,A,human,human,edge_case_coverage,severe
AB019,B,human,llm,source_quality,severe
AB020,A,human,llm,manipulation_susceptibility,three_one_apart
AB021,A,human,human,outcome_concentration,severe
AB022,A,human,llm,predicate_ambiguity,severe
AB023,B,human,human,outcome_concentration,severe
AB024,A,human,human,source_specification,three_one_apart
AB025,A,human,llm,manipulation_susceptibility,severe
AB026,B,human,llm,source_quality,severe
AB027,A,human,llm,manipulation_susceptibility,three_one_apart
AB028,A,human,llm,source_specification,severe
AB029,A,human,llm,outcome_concentration,severe
AB030,A,human,llm,governing_body_engagement,severe
AB031,B,human,llm,outcome_concentration,severe
AB032,A,human,human,outcome_concentration,three_one_apart
AB033,B,human,llm,source_specification,severe
AB034,A,human,llm,outcome_concentration,severe
AB035,B,human,human,outcome_concentration,severe
AB036,B,human,human,source_quality,severe
AB037,A,human,llm,predicate_ambiguity,severe
AB038,B,human,human,outcome_concentration,severe
AB039,A,human,human,outcome_concentration,three_one_apart
AB040,B,human,human,source_specification,severe
AB041,A,human,llm,source_quality,three_one_apart
AB042,B,human,llm,edge_case_coverage,three_one_apart
AB043,B,human,llm,manipulation_susceptibility,severe
AB044,A,human,llm,source_quality,severe
AB045,A,human,llm,governing_body_engagement,three_one_apart
AB046,A,human,human,source_specification,severe
AB047,B,human,llm,governing_body_engagement,severe
AB048,A,human,llm,manipulation_susceptibility,severe
AB049,B,human,human,predicate_ambiguity,severe
AB050,B,human,human,source_quality,severe
AB051,B,gpt,llm,manipulation_susceptibility,severe
AB052,B,gpt,human,temporal_precision,severe
AB053,A,gpt,human,edge_case_coverage,severe
AB054,A,gpt,human,manipulation_susceptibility,severe
AB055,B,gpt,llm,source_specification,severe
AB056,A,gpt,human,temporal_precision,severe
AB057,B,gpt,llm,manipulation_susceptibility,severe
AB058,A,gpt,human,manipulation_susceptibility,severe
AB059,A,gpt,llm,outcome_concentration,severe
AB060,B,gpt,llm,governing_body_engagement,three_one_apart
AB061,B,gpt,llm,outcome_concentration,three_one_apart
AB062,B,gpt,llm,governing_body_engagement,three_one_apart
AB063,A,gpt,llm,outcome_concentration,three_one_apart
AB064,A,gpt,llm,source_quality,severe
AB065,B,gpt,human,outcome_concentration,severe
AB066,B,gpt,llm,outcome_concentration,severe
AB067,A,gpt,llm,outcome_concentration,three_one_apart
AB068,A,gpt,llm,outcome_concentration,three_one_apart
AB069,B,gpt,human,governing_body_engagement,severe
AB070,B,gpt,llm,outcome_concentration,severe
AB071,A,gpt,human,manipulation_susceptibility,three_one_apart
AB072,A,gpt,human,predicate_ambiguity,severe
AB073,A,gpt,human,governing_body_engagement,severe
AB074,A,gpt,llm,manipulation_susceptibility,severe
AB075,A,gpt,llm,governing_body_engagement,three_one_apart
AB076,A,gpt,human,headline_rules_alignment,severe
AB077,A,gpt,human,edge_case_coverage,severe
AB078,A,gpt,llm,manipulation_susceptibility,three_one_apart
AB079,A,gpt,llm,predicate_ambiguity,severe
AB080,B,gpt,llm,source_quality,severe
AB081,B,gpt,human,headline_rules_alignment,severe
AB082,A,gpt,human,source_quality,severe
AB083,A,gpt,human,outcome_concentration,severe
AB084,A,gpt,human,governing_body_engagement,severe
AB085,A,gpt,human,governing_body_engagement,severe
AB086,B,gpt,llm,governing_body_engagement,severe
AB087,A,gpt,human,predicate_ambiguity,severe
AB088,B,gpt,llm,manipulation_susceptibility,three_one_apart
AB089,A,gpt,llm,governing_body_engagement,three_one_apart
AB090,A,gpt,human,predicate_ambiguity,severe
AB091,B,gpt,llm,manipulation_susceptibility,severe
AB092,A,gpt,human,edge_case_coverage,severe
AB093,A,gpt,llm,source_specification,severe
AB094,B,gpt,llm,outcome_concentration,three_one_apart
AB095,B,gpt,llm,governing_body_engagement,severe
AB096,B,gpt,llm,source_quality,severe
AB097,A,gpt,llm,outcome_concentration,three_one_apart
AB098,A,gpt,llm,outcome_concentration,severe
AB099,A,gpt,llm,source_specification,severe
AB100,A,gpt,llm,source_quality,severe
AB101,A,gpt,human,edge_case_coverage,severe
AB102,A,gpt,llm,source_quality,severe
AB103,A,gpt,llm,source_specification,severe
AB104,B,gpt,llm,manipulation_susceptibility,severe
AB105,B,gpt,llm,governing_body_engagement,severe
AB106,A,gpt,llm,governing_body_engagement,three_one_apart
AB107,B,gpt,llm,outcome_concentration,three_one_apart
AB108,B,gpt,llm,predicate_ambiguity,severe
AB109,A,gpt,human,edge_case_coverage,severe
AB110,A,gpt,llm,outcome_concentration,severe
AB111,A,gpt,llm,governing_body_engagement,severe
AB112,A,gpt,llm,governing_body_engagement,three_one_apart
AB113,A,gpt,human,outcome_concentration,severe
AB114,B,gpt,llm,source_specification,severe
AB115,B,gpt,llm,manipulation_susceptibility,severe
AB116,A,gpt,llm,manipulation_susceptibility,three_one_apart
AB117,B,gpt,human,governing_body_engagement,severe
AB118,B,gpt,llm,outcome_concentration,severe
AB119,B,gpt,llm,source_specification,severe
AB120,A,gpt,llm,outcome_concentration,three_one_apart
AB121,B,gpt,llm,source_specification,severe
AB122,B,gpt,llm,manipulation_susceptibility,severe
AB123,A,gpt,human,predicate_ambiguity,severe
AB124,A,gpt,human,edge_case_coverage,severe
AB125,A,gpt,human,edge_case_coverage,three_one_apart
AB126,A,gpt,llm,outcome_concentration,severe
AB127,A,gpt,llm,manipulation_susceptibility,severe
AB128,B,gpt,llm,manipulation_susceptibility,severe
AB129,B,gpt,llm,outcome_concentration,severe
AB130,B,gpt,human,governing_body_engagement,severe
AB131,A,gpt,human,governing_body_engagement,severe
AB132,A,gpt,llm,outcome_concentration,severe
AB133,B,gpt,llm,outcome_concentration,severe
AB134,B,gpt,llm,outcome_concentration,three_one_apart
AB135,A,gpt,llm,outcome_concentration,three_one_apart
AB136,A,gpt,human,temporal_precision,severe
AB137,A,gpt,human,source_quality,severe
