item,contract_id,axis,A_is,human_score,llm_score,diff,stratum
AB001,cs2-wing-wave-2026-04-18-game1-odd-even-total-kills,temporal_precision,llm,0,2,2,severe
AB002,KXRANKLISTSONGSPOTGLOBAL-26JUL01-ZAR,source_quality,human,3,0,-3,severe
AB003,KXATTYGENTX-26-R,governing_body_engagement,human,0,2,2,severe
AB004,nhl-2025-26-hart-memorial-trophy-connor-mcdavid,temporal_precision,llm,0,2,2,severe
AB005,KXLEADERWNBAREB-26-NHOWARD1,outcome_concentration,human,2,0,-2,severe
AB006,will-kristi-noem-win-the-2028-republican-presidential-nomination,manipulation_susceptibility,human,0,2,2,severe
AB007,KXCANUSTRIPS-27FEB23-T20,headline_rules_alignment,human,2,0,-2,severe
AB008,will-japan-recognize-palestine-before-2027,manipulation_susceptibility,llm,0,2,2,severe
AB009,KXSENATEIAR-26-PGRA,source_quality,human,2,0,-2,severe
AB010,will-trump-meet-with-keir-starmer-in-2026,manipulation_susceptibility,llm,0,2,2,severe
AB011,will-lighter-reach-4-before-2027,governing_body_engagement,human,3,2,-1,three_one_apart
AB012,KXSENATEMIR-26-BSMI,source_specification,human,2,0,-2,severe
AB013,KXNFLSEASONPASSYDS-27C3000-TSHOUGH6,governing_body_engagement,human,0,2,2,severe
AB014,KXNCAAFPLAYOFF-26-WASH,outcome_concentration,human,2,0,-2,severe
AB015,ukraine-signs-peace-deal-with-russia-before-2027,outcome_concentration,llm,3,2,-1,three_one_apart
AB016,israel-x-hamas-ceasefire-phase-ii-by-june-30,outcome_concentration,llm,3,2,-1,three_one_apart
AB017,will-openai-launch-a-new-consumer-hardware-product-by-december-31-2026,predicate_ambiguity,llm,2,0,-2,severe
AB018,KXNCAAMBWINS-26KU-27,edge_case_coverage,human,2,0,-2,severe
AB019,KXSHOWENDSIMPSONS-30,source_quality,human,2,0,-2,severe
AB020,will-cryptopunks-floor-price-reach-50-eth-before-2027,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB021,cricpsl-raw-pes-2026-04-26-toss-match-double-pes,outcome_concentration,human,0,2,2,severe
AB022,KXMIDTERMMOV-NJ07R-P7,predicate_ambiguity,llm,2,0,-2,severe
AB023,KXRANKLISTSONGSPOTGLOBAL-26JUL01-ZAR,outcome_concentration,llm,0,2,2,severe
AB024,standx-fdv-above-1b-one-day-after-launch-758-887-458-572-867,source_specification,human,3,2,-1,three_one_apart
AB025,KXSENATEGAR-26-DDOO,manipulation_susceptibility,llm,0,2,2,severe
AB026,KXMIDTERMVOTETURN-OR01-420000,source_quality,human,2,0,-2,severe
AB027,sol-updown-5m-1766163000,manipulation_susceptibility,llm,3,2,-1,three_one_apart
AB028,KXRANKLISTSONGSPOTGLOBAL-26JUL01-ZAR,source_specification,llm,2,0,-2,severe
AB029,KXNCAABBREG-26GAIN-TROY,outcome_concentration,llm,2,0,-2,severe
AB030,KXUAL-26JULPAX-48500000.0,governing_body_engagement,llm,3,0,-3,severe
AB031,KXPRIMARYMOV-GAPRIMARY10R26-RMIL-P7,outcome_concentration,human,2,0,-2,severe
AB032,will-josh-tenorio-win-the-2026-guam-governor-democratic-primary-election,outcome_concentration,human,3,2,-1,three_one_apart
AB033,KXGOVPARTYAK-26-R,source_specification,human,2,0,-2,severe
AB034,lol-bw-su-2026-04-16-game2-any-player-penta-kill,outcome_concentration,llm,0,2,2,severe
AB035,KXSPOTIFYGLOBALD-26JUN01-THEO,outcome_concentration,llm,0,2,2,severe
AB036,KXLLM1-26JUN06-XAI,source_quality,llm,2,0,-2,severe
AB037,will-milady-floor-price-reach-2-eth-before-2027,predicate_ambiguity,llm,2,0,-2,severe
AB038,KXNFLSEASONRSHYDS-27C1250-THENDERSON32,outcome_concentration,llm,2,0,-2,severe
AB039,will-dominick-pangallo-be-the-democratic-nominee-for-ma-06,outcome_concentration,human,3,2,-1,three_one_apart
AB040,KXENGAGEMENTDARTBEER-26,source_specification,llm,2,0,-2,severe
AB041,KXATTYGENTX-26-R,source_quality,llm,3,2,-1,three_one_apart
AB042,will-cryptopunks-floor-price-reach-50-eth-before-2027,edge_case_coverage,human,3,2,-1,three_one_apart
AB043,will-bernie-endorse-antonio-delgado-for-ny-gov-by-nov-2-2026-et,manipulation_susceptibility,human,0,3,3,severe
AB044,KXITFWMATCH-26JUN01VAJSHR-VAJ,source_quality,llm,3,1,-2,severe
AB045,us-x-iran-permanent-peace-deal-by-may-31-2026-333-871-241-192-799-449-125,governing_body_engagement,llm,3,2,-1,three_one_apart
AB046,KXTOPARTISTTHIRD-26-WEE,source_specification,human,2,0,-2,severe
AB047,KXFRONTIER-FRON-27JAN01,governing_body_engagement,human,0,2,2,severe
AB048,us-iran-nuclear-deal-before-2027,manipulation_susceptibility,llm,0,2,2,severe
AB049,INDIACLIMATE-30,predicate_ambiguity,llm,2,0,-2,severe
AB050,KXMLBWINS-CLE-26-T95,source_quality,llm,3,1,-2,severe
